time,open,high,low,close,volume
2025-04-07 00:15:00,2981.28,2991.26,2975.32,2985.05,3123
2025-04-07 00:30:00,2985.02,2992.55,2979.33,2982.88,2998
2025-04-07 00:45:00,2982.86,2988.77,2972.96,2978.81,3233
2025-04-07 01:00:00,2978.79,3008.88,2971.96,3006.18,5326
2025-04-07 01:15:00,3006.12,3020.78,3004.49,3019.14,5503
2025-04-07 01:30:00,3019.15,3055.3,3016.16,3051.75,5596
2025-04-07 01:45:00,3051.72,3055.34,3036.39,3038.2,5298
2025-04-07 02:00:00,3038.03,3055.64,3035.79,3052.67,4800
2025-04-07 02:15:00,3052.59,3053.33,3039.86,3042.35,3172
2025-04-07 02:30:00,3042.31,3044.86,3026.95,3031.95,4164
2025-04-07 02:45:00,3032.27,3035.82,3024.24,3025.67,3438
2025-04-07 03:00:00,3025.69,3030.06,3021.89,3026.07,3102
2025-04-07 03:15:00,3026.04,3031.23,3025.37,3029.7,2585
2025-04-07 03:30:00,3029.48,3034.0,3026.01,3027.01,2427
2025-04-07 03:45:00,3026.73,3029.06,3017.08,3018.84,2356
2025-04-07 04:00:00,3018.85,3031.75,3018.85,3027.23,2155
2025-04-07 04:15:00,3027.14,3030.13,3023.79,3026.45,1589
2025-04-07 04:30:00,3026.29,3032.94,3025.06,3027.8,1852
2025-04-07 04:45:00,3027.77,3035.57,3025.94,3035.41,1852
2025-04-07 05:00:00,3035.39,3037.32,3024.72,3029.39,2165
2025-04-07 05:15:00,3029.38,3040.05,3029.16,3038.54,2403
2025-04-07 05:30:00,3038.65,3044.36,3033.83,3039.2,3308
2025-04-07 05:45:00,3039.19,3043.35,3031.69,3031.94,2579
2025-04-07 06:00:00,3031.89,3033.41,3022.23,3026.81,4125
2025-04-07 06:15:00,3026.79,3027.86,3016.59,3018.26,4155
2025-04-07 06:30:00,3018.4,3031.52,3018.4,3027.81,4176
2025-04-07 06:45:00,3027.75,3030.57,3018.69,3029.69,4509
2025-04-07 07:00:00,3029.76,3030.62,3013.21,3014.19,5176
2025-04-07 07:15:00,3014.23,3027.07,3013.69,3019.04,5272
2025-04-07 07:30:00,3019.03,3026.39,3018.99,3019.22,4415
2025-04-07 07:45:00,3019.24,3029.12,3015.83,3018.97,4507
2025-04-07 08:00:00,3018.86,3028.19,3017.76,3027.68,4356
2025-04-07 08:15:00,3027.74,3029.86,3023.13,3023.42,4212
2025-04-07 08:30:00,3023.4,3028.64,3020.93,3027.39,3619
2025-04-07 08:45:00,3027.4,3035.39,3026.68,3031.11,3405
2025-04-07 09:00:00,3031.34,3033.35,3025.61,3027.7,3472
2025-04-07 09:15:00,3027.69,3027.7,3019.57,3026.5,3513
2025-04-07 09:30:00,3026.52,3031.57,3024.05,3025.62,3804
2025-04-07 09:45:00,3025.6,3028.61,3019.6,3025.11,3722
2025-04-07 10:00:00,3025.09,3030.68,3024.13,3026.64,3924
2025-04-07 10:15:00,3026.57,3033.19,3026.22,3032.58,3662
2025-04-07 10:30:00,3032.52,3036.23,3031.79,3032.3,3974
2025-04-07 10:45:00,3032.24,3036.38,3030.07,3031.28,3431
2025-04-07 11:00:00,3031.27,3042.28,3030.96,3040.18,3859
2025-04-07 11:15:00,3040.3,3044.12,3038.7,3040.04,3723
2025-04-07 11:30:00,3040.12,3045.96,3038.73,3039.42,4187
2025-04-07 11:45:00,3039.38,3040.25,3030.18,3031.13,3720
2025-04-07 12:00:00,3031.19,3031.62,3025.04,3025.71,4523
2025-04-07 12:15:00,3025.7,3031.41,3024.65,3026.58,5285
2025-04-07 12:30:00,3026.57,3030.07,3014.69,3020.25,5393
2025-04-07 12:45:00,3020.19,3032.67,3019.56,3031.16,4445
2025-04-07 13:00:00,3031.14,3034.04,3024.43,3027.48,4934
2025-04-07 13:15:00,3027.5,3030.18,3021.41,3024.58,4512
2025-04-07 13:30:00,3024.59,3026.62,3001.92,3006.84,6629
2025-04-07 13:45:00,3006.85,3019.02,3003.94,3015.36,5872
2025-04-07 14:00:00,3015.35,3032.16,3010.93,3027.18,5971
2025-04-07 14:15:00,3026.79,3037.95,3005.12,3008.83,5579
2025-04-07 14:30:00,3008.12,3013.69,2997.07,3002.91,5668
2025-04-07 14:45:00,3002.85,3009.54,2996.45,2999.18,4916
2025-04-07 15:00:00,2999.21,3004.6,2983.78,2984.8,5251
2025-04-07 15:15:00,2984.75,2998.55,2984.23,2986.73,4811
2025-04-07 15:30:00,2986.78,2988.59,2981.12,2984.41,5087
2025-04-07 15:45:00,2984.45,2988.04,2979.82,2987.44,4924
2025-04-07 16:00:00,2987.42,2987.75,2977.1,2979.83,4582
2025-04-07 16:15:00,2979.82,2985.25,2975.12,2977.84,4215
2025-04-07 16:30:00,2977.85,2984.69,2975.06,2975.19,3771
2025-04-07 16:45:00,2975.18,2975.6,2969.81,2970.4,4241
2025-04-07 17:00:00,2970.55,2975.11,2959.56,2966.24,4782
2025-04-07 17:15:00,2965.47,2970.56,2956.83,2958.94,4981
2025-04-07 17:30:00,2958.95,2968.8,2956.24,2968.1,4477
2025-04-07 17:45:00,2968.12,2973.63,2966.06,2970.05,4245
2025-04-07 18:00:00,2970.02,2973.3,2969.28,2970.89,3881
2025-04-07 18:15:00,2970.87,2974.05,2969.16,2969.69,3581
2025-04-07 18:30:00,2969.75,2976.6,2968.56,2971.75,3662
2025-04-07 18:45:00,2971.74,2972.38,2963.89,2965.71,3034
